occupation_id,occupation_name,competency_unit
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mengawasi pelaksanaan arsitektur perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mengelola sumber daya arsitektur perusahaan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),mengembangkan dan memelihara hubungan dengan pemangku kepentingan
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),memiliki pemahaman mendalam mengenai pengelolaan teknologi informasi.
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),lead innovative thinking and practice (memimpin pemikiran dan praktik inovatif)
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),develop and cultivate collaborative partnerships and relationships
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),conduct a business case study for integrating sustainability in ict planning and design projects
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),use ict to improve sustainability outcomes
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),manage improvements in ict sustainability
TIK.ITG0801,KEPALA ARSITEKTUR PERUSAHAAN (LEAD ENTERPRISE ARCHITECTURE),lead applied research in ict sustainability
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),perencanaan teknologi informasi (ti)
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),implementasi teknologi informasi (ti)
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),kemampuan untuk mengelola proyek dan tim
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),kemampuan untuk berkomunikasi secara efektif dengan berbagai pemangku kepentingan
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),kemampuan untuk berpikir kritis dan memecahkan masalah
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),kemampuan untuk beradaptasi dengan perubahan
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),"memberikan saran dan nasihat teknis kepada manajemen dan tim it tentang strategi, perencanaan, dan penerapan teknologi informasi"
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),memimpin dan mengawasi proyek-proyek teknologi informasi yang kompleks.
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),melakukan riset dan pengembangan teknologi baru
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),memberikan pelatihan dan pengembangan kepada tim it
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),membangun hubungan dengan pemangku kepentingan internal dan eksternal
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),mengembangkan dan mengimplementasikan strategi it
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),memberikan nasihat dan saran kepada manajemen tentang masalah it
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),memimpin dan mengelola tim it
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),mengembangkan dan memelihara hubungan dengan pemangku kepentingan internal dan eksternal
TIK.ITG0802,KEPALA PENASIHAT TI (LEAD IT ADVISOR),"keahlian teknis: keahlian teknis yang luas dalam berbagai bidang ti, termasuk infrastruktur ti, keamanan ti, dan manajemen data;"
