academic_year,course_name,meeting_number,meeting_content
20241,Bahasa Inggris 1,9,"CV/Resume, cover Letter and Business Letter English for Academic Purposes Module Zoom platform"
20241,Bahasa Inggris 1,10,"Resume, CV & Cover letter Ebook EAP-1 mastering the styles of CV and Cover letter in term of business english"
20241,Bahasa Inggris 1,11,Composition Ebook EAP-1 different kinds of text in English
20241,Bahasa Inggris 1,12,business letter English for academic purposes Zoom meeting
20241,Bahasa Inggris 1,13,Academic Versus Journalistic Writing academic english modul Zoom meeting
20241,Bahasa Inggris 1,14,review 8-15 English for academic purposes prepare for Final Test Computer Vision
20241,Computer Vision,1,Introduction Szeliszki Introduction
20241,Computer Vision,2,Lights and Color Computer Vision by Selizscki Lights. Color models. Examples.
20241,Computer Vision,3,Colour perception. Slides. Color. Trichromatism. HVS.
20241,Computer Vision,4,"Image filtering Slide, textbook. Convolution. Correlation. Characteristics of convolution. Types of filters: median, mean, Sobel, Gaussian, etc."
20241,Computer Vision,5,Contrast stretching Notebook Contrast stretching
20241,Computer Vision,6,"Frequency, descriptors Slide, notes Frequency, descriptors. SIFT."
20241,Computer Vision,7,Local descriptors SLIDE MOPS. SIFT.
20241,Computer Vision,8,"Review Exam. Textbook, slide, notes. Report writing. LaTeX template usage."
20241,Computer Vision,9,"Morphological processing Slide, notes, textbook. Erosion. Dilation. Opening. Closing."
20241,Computer Vision,10,Discussion on morphological image processing for CV SLIDE Discussion on morphological image processing for CV
20241,Computer Vision,11,Morphological processing usage Web Literature searching for morphological processing usage in computer vision.
20241,Computer Vision,12,"Contour Notes, slides, textbook. Contour detection. Using contour for segmentation."
20241,Computer Vision,13,"Watershed segmentation. Notebook, video. Watershed segmentation. K-means clustering."
20241,Computer Vision,14,"Object detection Slides, notes Traditional object detection. Object detection with DL. E-Business dan Pemrograman Berbasis Web"
20241,E-Business dan Pemrograman Berbasis Web,1,"E-Business dan Pemrograman Berbasis Web Menjelaskan RPS Menjelaskan secara umum tentang Business Online dan E-Commerce Mahasiswa dijelaskan tentang pengertian dan Manfaat Buseiness Online dan Ecommerce Introduction to e-business and web-based programming Laudon, K., and Traver, C. G. E-Commerce. Prentice Hall. Students are able to explain the main concept of e-business and the main role of technology (web-based programming) in business"
20241,E-Business dan Pemrograman Berbasis Web,2,"Designing the e-business's process and data model Laudon, K., and Traver, C. G. (2011). E-Commerce. Prentice Hall. Raman S. (2020). How to write strategic plan. Students are learnt how to design e-business that involves IT/IS Strategic Plan, BMC/ SWOT, Business Process and able to translate the requirement into data model. E-Business dan Pemrograman Berbasis Web Menjelaskan Materi Cybercrime (Kejahatan didalam Sistem Komputer dan Jaringan Internet) Mahasiswa diajarkan tentang Cybercrime (Kejahatan didalam Sistem Komputer dan Jaringan Internet)"
